,0,1,2,3
209,RT @GOP: All Joe Biden has done for Americans is build back broke.,-14.159183755686652,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:12:02 +0000 2021
214,"@SpeakerPelosi Statement of President Joe Biden on the Passing of Senator Bob Dole
https://t.co/QLXu6LMdIZ",-14.366162370147507,http://pbs.twimg.com/profile_images/1466867858193985548/RglL_Yoi_normal.jpg,Mon Dec 06 07:29:51 +0000 2021
215,"@SenSchumer @baseballhall Statement of President Joe Biden on the Passing of Senator Bob Dole
https://t.co/QLXu6LMdIZ",-14.559777933560222,http://pbs.twimg.com/profile_images/1466867858193985548/RglL_Yoi_normal.jpg,Mon Dec 06 07:30:32 +0000 2021
216,@MdlovetheUS @hodgetwins Joe Biden said he would beat the virus what a lie and ppl believed it,-14.913127040529371,http://pbs.twimg.com/profile_images/1374577107636994048/WNx3nOn__normal.jpg,Mon Dec 06 07:33:35 +0000 2021
212,"It is Monday December 06, 2021, 02:26:01. Joe Biden has not restored immigration opportunity to those denied under… https://t.co/jvdJeVy1dt",-15.229208587502848,http://pbs.twimg.com/profile_images/1353007044924682241/-jdjG72Y_normal.jpg,Mon Dec 06 07:26:01 +0000 2021
201,hello,-17.991863588868263,http://pbs.twimg.com/profile_images/565145813253242880/KN5Xg8Tt_normal.jpeg,Mon Dec 06 08:15:07 +0000 2021
106,hello,-17.991863588868263,http://pbs.twimg.com/profile_images/1463075595751936000/X-FMXv_x_normal.jpg,Mon Dec 06 07:37:23 +0000 2021
155,@o0okee Hello,-19.208258913192758,http://pbs.twimg.com/profile_images/1467757797064380417/U3YXbcic_normal.jpg,Mon Dec 06 07:58:52 +0000 2021
159,@AxieinfinitySam Hello,-19.208258913192758,http://pbs.twimg.com/profile_images/1449354408492355588/kQstAIJ1_normal.jpg,Mon Dec 06 07:59:11 +0000 2021
139,hello https://t.co/49ffHGCrL0,-19.208258913192758,http://pbs.twimg.com/profile_images/1410089917498093572/V9jWd0m-_normal.jpg,Mon Dec 06 07:52:08 +0000 2021
136,Hello https://t.co/H0GtTAz9pi,-19.208258913192758,http://pbs.twimg.com/profile_images/1454737813552132096/j8p0LW32_normal.jpg,Mon Dec 06 07:51:15 +0000 2021
27,@jikoolust hello,-19.208258913192758,http://pbs.twimg.com/profile_images/1465885410068815874/l9m5Wrcp_normal.jpg,Mon Dec 06 07:10:16 +0000 2021
144,@pshreyaa716 Hello,-19.208258913192758,http://pbs.twimg.com/profile_images/1465353356281475078/kxrpb9W0_normal.jpg,Mon Dec 06 07:54:00 +0000 2021
72,@THEDUBAIQUEEN Hello,-19.208258913192758,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:25:39 +0000 2021
15,HELLO !!!!!,-19.208258913192758,http://pbs.twimg.com/profile_images/1456398229331800080/iJD_h-Tc_normal.jpg,Mon Dec 06 07:06:33 +0000 2021
91,@jeayunki hello,-19.208258913192758,http://pbs.twimg.com/profile_images/1465285347806355457/Lc0DrHsa_normal.jpg,Mon Dec 06 07:31:34 +0000 2021
52,Hello World (1638775210),-20.071305130548097,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:20:10 +0000 2021
75,@cumessax Hello pretty,-20.071305130548097,http://pbs.twimg.com/profile_images/1371434231923159040/wpeyok6w_normal.jpg,Mon Dec 06 07:26:23 +0000 2021
78,Hello World (1638775656),-20.071305130548097,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:27:36 +0000 2021
102,@MIZUEN4 STOP HELLO,-20.071305130548097,http://pbs.twimg.com/profile_images/1467293343541600259/mezPzNFE_normal.jpg,Mon Dec 06 07:36:32 +0000 2021
220,Joe Swanson is unattractive and a gamer,-20.139998590166805,http://pbs.twimg.com/profile_images/1343693877216235521/LH24VG8Q_normal.jpg,Mon Dec 06 07:47:46 +0000 2021
217,RT @crockpics: Steven Tyler &amp; Joe Perry https://t.co/hBFySkZzeN,-20.493347697135953,http://pbs.twimg.com/profile_images/1463681370216144904/JhtgRKp1_normal.jpg,Mon Dec 06 07:33:40 +0000 2021
54,@MeredithFrost Hello ⭐️ https://t.co/lkMNxD12os,-20.740735784490727,http://pbs.twimg.com/profile_images/1122317755493916672/k2m7vHjm_normal.jpg,Mon Dec 06 07:21:09 +0000 2021
33,"hello everybody,I love peace",-20.740735784490727,http://pbs.twimg.com/profile_images/1467684826199523328/2S1n5T5o_normal.jpg,Mon Dec 06 07:12:45 +0000 2021
252,@FoxNews LMAO then putin exposes biden and hunter.,-21.089119427932765,http://pbs.twimg.com/profile_images/1093172276864925696/27-Gnfhq_normal.jpg,Mon Dec 06 07:40:14 +0000 2021
203,"RT @ACTBrigitte: Everybody hates Joe Biden, even the Amish! https://t.co/qnSiheTCzS",-21.095359783522404,http://pbs.twimg.com/profile_images/1275605559547330565/-Ypfl7qx_normal.jpg,Mon Dec 06 07:07:06 +0000 2021
97,RT @MemesCentraI: Hello there https://t.co/5QUCTcqcUv,-21.287700454872592,http://pbs.twimg.com/profile_images/1444260298592972800/Dj00P6Pn_normal.jpg,Mon Dec 06 07:35:00 +0000 2021
68,"hello picknava, pickaw, twitterpicker :&gt;",-21.287700454872592,http://pbs.twimg.com/profile_images/1466699596013334535/HQj9xuF2_normal.png,Mon Dec 06 07:24:31 +0000 2021
114,i slept so much hello,-21.287700454872592,http://pbs.twimg.com/profile_images/1465421778742767620/vR-77ifN_normal.jpg,Mon Dec 06 07:40:25 +0000 2021
169,RT @angellthay: Hello 😇😋 https://t.co/ifEV8YUcDz,-21.287700454872592,http://pbs.twimg.com/profile_images/1459682499492294657/ApT0svrf_normal.jpg,Mon Dec 06 08:02:19 +0000 2021
211,RT @DailyCaller: Dana White Thanks 'Dr. Joe Rogan' After Beating COVID-19 https://t.co/gZE5oiXVQ9,-21.596522037511903,http://pbs.twimg.com/profile_images/2873665774/94d378ceb7da0fe8e8c7fc63f48f9db1_normal.png,Mon Dec 06 07:20:49 +0000 2021
218,RT @Salmanaranx: what do u wanna tell joe bryon right now? https://t.co/3zZcFjnfkE,-21.596522037511903,http://pbs.twimg.com/profile_images/794339638840152066/BRlCGjV6_normal.jpg,Mon Dec 06 07:34:50 +0000 2021
230,Descendants of Marcus Garvey press Biden for posthumous pardon https://t.co/5qXzylbkXd,-21.691131514319217,http://pbs.twimg.com/profile_images/1448682315035598848/b3I7SIdc_normal.jpg,Mon Dec 06 07:00:43 +0000 2021
261,"RT @edwardlucas: Biden must resist joining Putin’s poker game

https://t.co/dO8xdUTzHs",-21.691131514319217,http://pbs.twimg.com/profile_images/1088740201/02ed760d-e036-4d1e-8864-8ef0ccf41c7d_normal.png,Mon Dec 06 07:51:34 +0000 2021
258,"RT @GeorgeBTonks: BIDEN VIDEO THAT EVERYONE MUST WATCH📢

@JoeBiden

https://t.co/1G0n8QzO37",-21.691131514319217,http://pbs.twimg.com/profile_images/1463287406413721605/zQZmAhgC_normal.jpg,Mon Dec 06 07:50:09 +0000 2021
103,RT @_NaturalBadASH: Hello 40 😏 https://t.co/iqRtjdCRao,-21.750152494354367,http://pbs.twimg.com/profile_images/1414661282414870535/xwoZLTXv_normal.jpg,Mon Dec 06 07:36:55 +0000 2021
156,RT @_NaturalBadASH: Hello 40 😏 https://t.co/iqRtjdCRao,-21.750152494354367,http://pbs.twimg.com/profile_images/1467542319318683656/0l6OCFs8_normal.jpg,Mon Dec 06 07:59:02 +0000 2021
82,RT @_NaturalBadASH: Hello 40 😏 https://t.co/iqRtjdCRao,-21.750152494354367,http://pbs.twimg.com/profile_images/1462870910218780675/RN0kelRY_normal.jpg,Mon Dec 06 07:29:38 +0000 2021
233,RT @RealMattCouch: BIDEN AND BUTTIGIEG CLUELESS ABOUT SOLVING FUEL CRISIS​ https://t.co/E6ugnShITR,-21.952165645288105,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:07:41 +0000 2021
186,"RT @TeamSethDrea: Hello Ricky!

ShopeePamasko WithSeth

#PamaskoNiSeth",-22.150746672227932,http://pbs.twimg.com/profile_images/1465562469326229514/5e_cSIdL_normal.jpg,Mon Dec 06 08:07:57 +0000 2021
184,RT @hellopanda04: hello panda is back😬🤤 https://t.co/JdRBWGRMzm,-22.150746672227932,http://pbs.twimg.com/profile_images/1339418786676424704/2AlMfDFL_normal.jpg,Mon Dec 06 08:07:14 +0000 2021
12,"Hey whats up hello 
#altercebu #cebualter https://t.co/1duxFfFvBZ",-22.150746672227932,http://pbs.twimg.com/profile_images/1461369779197861892/bQ8R5FGo_normal.jpg,Mon Dec 06 07:03:15 +0000 2021
234,@QuietShhListen @Mochara420 @jeanieresists Did you spend the covid cash Biden sent you ?,-22.414617684769876,http://pbs.twimg.com/profile_images/1457342373189586951/M9cxyobc_normal.jpg,Mon Dec 06 07:12:19 +0000 2021
85,RT @SpuukyLIVE: everyone say hello to frog https://t.co/qZuTBN4FV9,-22.504095779197087,http://pbs.twimg.com/profile_images/975908034827317248/NAlx9V3I_normal.jpg,Mon Dec 06 07:29:55 +0000 2021
189,Hello EveryBuddy except for Salman Khan &amp; Anony,-22.504095779197087,http://pbs.twimg.com/profile_images/1466885465911578626/iOtMePJ4_normal.jpg,Mon Dec 06 08:09:22 +0000 2021
16,Hello from myself in a blanket burrito 🌯,-22.504095779197087,http://pbs.twimg.com/profile_images/1450166867675521026/mN8DlhrY_normal.jpg,Mon Dec 06 07:06:54 +0000 2021
173,@cinnamo_softie @CRKingdomEN @CookieRun hello i adore your art,-22.504095779197087,http://pbs.twimg.com/profile_images/1454033808857174019/qBMHlbAq_normal.jpg,Mon Dec 06 08:03:07 +0000 2021
112,RT @keyon: well somebody pop it off hello,-22.504095779197087,http://pbs.twimg.com/profile_images/1463849493846282240/554OEzES_normal.jpg,Mon Dec 06 07:40:12 +0000 2021
9,@Lbugso Hello how much is it with tax?,-22.504095779197087,http://pbs.twimg.com/profile_images/1454348117000667145/3u9f3Prh_normal.jpg,Mon Dec 06 07:02:16 +0000 2021
210,What is Joe Biden’s plan to free y’all from the shackles of Pete Davidson and Jack Harlow…,-22.57278923881579,http://pbs.twimg.com/profile_images/1343064971903725568/f2WryGNv_normal.jpg,Mon Dec 06 07:13:03 +0000 2021
207,RT @cowboyinwoods13: “my child is completely fine” your child calls taylor swift and joe alwyn mom and dad,-22.734990902626617,http://pbs.twimg.com/profile_images/1459065921155309569/-ypw4jPW_normal.jpg,Mon Dec 06 07:10:28 +0000 2021
268,RT @colmant_: Biden Sends A Message By Restoring Kennedy Center Honorees White House Reception https://t.co/uY5OY1KSvl,-22.815211862643444,http://pbs.twimg.com/profile_images/1901339664/witch_on__broom_normal.gif,Mon Dec 06 08:10:01 +0000 2021
250,"Return to tradition: Biden celebrates Bette Midler, Joni Mitchell at Kennedy Center Honors https://t.co/Nu0JEHV2zV https://t.co/4EdStzbRDZ",-22.815211862643444,http://pbs.twimg.com/profile_images/877265341398753280/V9xEHxMe_normal.jpg,Mon Dec 06 07:40:05 +0000 2021
251,"Same as Obama, Biden is a weakling 
The Chinese must be laughing their heads off",-22.815211862643444,http://pbs.twimg.com/profile_images/628556993054150657/iXe4xtz2_normal.jpg,Mon Dec 06 07:40:07 +0000 2021
187,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/1320427184125861889/WQrACT5P_normal.jpg,Mon Dec 06 08:08:50 +0000 2021
166,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/1340680762790608896/uz3hWErg_normal.jpg,Mon Dec 06 08:01:43 +0000 2021
131,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/966340527506448384/OjQQmPJE_normal.jpg,Mon Dec 06 07:50:01 +0000 2021
200,"RT @xlustorg__: Hello monday 🥰
👉 https://t.co/6VGSE1Bc1p ❤ https://t.co/YfuCTyEtTW",-22.820177326170565,http://pbs.twimg.com/profile_images/1374958604353110016/Zhy3-lx1_normal.jpg,Mon Dec 06 08:14:21 +0000 2021
101,RT @DOCTORyeeiPlay: Say Hello to my WOLF @wolfdotgame https://t.co/JIykB6E0mv,-22.820177326170565,http://pbs.twimg.com/profile_images/1442199578258952200/Q593f5Zi_normal.jpg,Mon Dec 06 07:36:19 +0000 2021
191,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/1427176054561533959/CO_jdor1_normal.jpg,Mon Dec 06 08:09:43 +0000 2021
195,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/1443603217045078016/GAoDN6Y__normal.jpg,Mon Dec 06 08:11:32 +0000 2021
150,"RT @filo_moa304: Hello we accept donate accs🚨🚨🚨🚨
#MAMAMOA_MATCH 
#MAMAMOA_VOTE",-22.820177326170565,http://pbs.twimg.com/profile_images/1464860915036483588/tOWJOmdv_normal.jpg,Mon Dec 06 07:55:50 +0000 2021
11,RT @kimatozaki: HELLO ??? YES ??? SAIDA ???? https://t.co/vlA9Ohr4Mn,-22.820177326170565,http://pbs.twimg.com/profile_images/1454311974146572290/rb0IBCko_normal.jpg,Mon Dec 06 07:02:51 +0000 2021
41,RT @itmydefinition: you had me at hello :-) https://t.co/zEaqrq7uLa,-22.820177326170565,http://pbs.twimg.com/profile_images/1458725642229325828/B8DDUpH6_normal.jpg,Mon Dec 06 07:15:37 +0000 2021
227,"RT @SUGARMOUNTAlNS: LIBERAL anime in 2022
PRONOUNS Piece
TRANSGENDER Revengers
JOE BIDENS bizarre adventure
THEY x THEM
GENDERutsu Kaisen",-22.888870785789265,http://pbs.twimg.com/profile_images/1450428879034740739/zV04uj0s_normal.jpg,Mon Dec 06 08:09:13 +0000 2021
226,"RT @catturd2: Breaking ...

A sardine and vomit smoothie - now has a higher approval rating than Joe Biden.",-22.888870785789265,http://pbs.twimg.com/profile_images/527613395160141825/_kaq0BaZ_normal.jpeg,Mon Dec 06 08:03:50 +0000 2021
262,RT @page88: Biden has the highest job creation rate of any president ever. H/t @iamrondavison https://t.co/qklCcIZiNV,-22.997085728092756,http://pbs.twimg.com/profile_images/1289645645272199170/bSAhce4U_normal.jpg,Mon Dec 06 07:51:49 +0000 2021
221,"RT @BookerSparticus: November Border Numbers

168,000 illegals caught
  62,000 got aways

600,000 Got Aways in 2021

Way to go Joe",-23.035241278297562,http://pbs.twimg.com/profile_images/1466395944098750466/DRcUrQqt_normal.jpg,Mon Dec 06 07:47:59 +0000 2021
163,"RT @knotstroke: Hello I am waff :3
📸: @IndycooneAD https://t.co/wMoORjAVvR",-23.10610786558354,http://pbs.twimg.com/profile_images/1411718096415563778/bGZNwEo4_normal.jpg,Mon Dec 06 07:59:31 +0000 2021
267,RT @thedailybeast: Biden gets standing ovation at Kennedy Center Honors after four years of Trump boycott https://t.co/Kdlyk1tQob,-23.168560969612596,http://pbs.twimg.com/profile_images/378800000407442663/f2502b9fe63c72d0885574e005abffb8_normal.jpeg,Mon Dec 06 08:05:49 +0000 2021
204,"RT @AntonioSabatojr: How I Beat COVID-19 in 48 Hours with Ivermectin, Just Like Joe Rogan and NFL Quarterback Aaron Rodgers https://t.co/Di…",-23.174801325202242,http://pbs.twimg.com/profile_images/1440729252886843394/7i-bV4K0_normal.jpg,Mon Dec 06 07:07:34 +0000 2021
224,I keep telling everyone the Joe Manchin is the one holding everything back and Christian cinema some of that you ne… https://t.co/gRoi8w5Mok,-23.308156612914743,http://pbs.twimg.com/profile_images/1442645899172143105/2e1RuuSW_normal.jpg,Mon Dec 06 08:00:29 +0000 2021
238,"RT @ReportsDaNews: If Biden doesn’t expand the Supreme Court and the Senate doesn’t pass voting rights...

It’s Over.",-23.330762633423426,http://abs.twimg.com/sticky/default_profile_images/default_profile_normal.png,Mon Dec 06 07:23:22 +0000 2021
120,RT @ou_sheila: Hello Monday. Wish you a really great week! https://t.co/VWXAxDBy27,-23.367141996552427,http://pbs.twimg.com/profile_images/1236019802461765632/wA2a8xNG_normal.png,Mon Dec 06 07:44:12 +0000 2021
115,"RT @Thezelicious: Hello lovelies  💖 
Do have a fruitful week https://t.co/EBtRin6aHg",-23.367141996552427,http://pbs.twimg.com/profile_images/1435953789819838464/bmrJnKw-_normal.jpg,Mon Dec 06 07:41:21 +0000 2021
142,"RT @Thezelicious: Hello lovelies  💖 
Do have a fruitful week https://t.co/EBtRin6aHg",-23.367141996552427,http://pbs.twimg.com/profile_images/1466673535548600323/-vAu0Ivb_normal.jpg,Mon Dec 06 07:53:29 +0000 2021
48,"RT @Thezelicious: Hello lovelies  💖 
Do have a fruitful week https://t.co/EBtRin6aHg",-23.367141996552427,http://pbs.twimg.com/profile_images/1318660427635634178/iP87MsVA_normal.jpg,Mon Dec 06 07:16:51 +0000 2021
193,@cutieejinn wait what’s pst ? ALSO HELLO TEEEEEEEEEEEEEEE MY BESTEST GIRL,-23.367141996552427,http://pbs.twimg.com/profile_images/1467500871667752961/BlxIf7cZ_normal.jpg,Mon Dec 06 08:11:16 +0000 2021
40,"RT @GaiaShabangu: Hello darlings! Let's be mutuals, follow me 😊 https://t.co/uvFyFBDF9g",-23.367141996552427,http://pbs.twimg.com/profile_images/1406667946215227395/C5QPOaz4_normal.jpg,Mon Dec 06 07:14:49 +0000 2021
104,RT @Naughty_ghal: Hello lovelies can we follow each other ❤💕💞💜💚💕💖 https://t.co/a2nlkE2fre,-23.367141996552427,http://pbs.twimg.com/profile_images/1465184596182638596/AV8xIIbg_normal.jpg,Mon Dec 06 07:37:21 +0000 2021
264,"RT @486Misfits: @GeorgeBTonks @EricMMatheny @JoeBiden Beau Biden was a pile of shit, just like the rest of the family.",-23.484642516586078,http://pbs.twimg.com/profile_images/1456087534577070091/ruHOlJ8o_normal.jpg,Mon Dec 06 07:59:06 +0000 2021
229,CNN's @BrianStelter and guest @EricBoehlert: Are the media harder on Biden than they were on Trump? (They're not) https://t.co/JWjNvYsVWH,-23.484642516586078,http://pbs.twimg.com/profile_images/1219696568640720896/QSJed5QC_normal.png,Mon Dec 06 07:00:06 +0000 2021
213,RT @chipfranklin: Is now a good time to remind people that Joe Manchin’s daughter raised the price of Epipens over 500% in 9 years?,-23.5583014397319,http://pbs.twimg.com/profile_images/1425472568132255755/uBKRkhF1_normal.jpg,Mon Dec 06 07:28:58 +0000 2021
219,"RT @LandNoli: Joe Phaahla (Health Minister):

We must remember that, no one amongst our scientists had ever said to us that the vaccines wi…",-23.5583014397319,http://pbs.twimg.com/profile_images/1464655232911163401/7-OEW_sE_normal.jpg,Mon Dec 06 07:35:24 +0000 2021
223,"@NRajpoot07 Most Test hundreds in 2021:

🏴󠁧󠁢󠁥󠁮󠁧󠁿 Joe Root - 6
🇱🇰 Dimuth Karunaratne - 4
🇵🇰 Fawad Alam - 3

Most Tes… https://t.co/hFFfm8yDDw",-23.5583014397319,http://pbs.twimg.com/profile_images/1445960909101359105/zGoHAm2U_normal.jpg,Mon Dec 06 07:56:08 +0000 2021
